iter	RMSE
0	2.874533951
1	2.799671587
2	2.731568595
3	2.670154416
4	2.61460168
5	2.56422793
6	2.51769316
7	2.47587457
8	2.43840598
9	2.403807703
10	2.372295223
11	2.343910417
12	2.317912365
13	2.295178504
14	2.274242409
15	2.255953083
16	2.239100531
17	2.223250607
18	2.208755389
19	2.196364065
20	2.185436721
21	2.174990609
22	2.165857831
23	2.157928161
24	2.150157016
25	2.143120316
26	2.137004474
27	2.131441654
28	2.126575157
29	2.122049185
30	2.117959057
31	2.114208658
32	2.110415977
33	2.107116889
34	2.104106908
35	2.101458013
36	2.099073499
37	2.09674705
38	2.094756302
39	2.09284141
40	2.091263914
41	2.089916275
42	2.088499684
43	2.08704664
44	2.085819549
45	2.084766978
46	2.083739407
47	2.082455208
48	2.081402669
49	2.080378511
50	2.079549482
51	2.078925618
52	2.078301259
53	2.077480197
54	2.076708969
55	2.076187593
56	2.075425271
57	2.075016525
58	2.074501543
59	2.073870925
60	2.073505058
61	2.073070797
62	2.072716245
63	2.072324689
64	2.071854176
65	2.071562003
66	2.071160646
67	2.070941521
68	2.070597317
69	2.070400442
70	2.069943447
71	2.069745175
72	2.069316099
73	2.069106294
74	2.068974089
75	2.068561483
76	2.068377416
77	2.068161127
78	2.067996942
79	2.067740136
80	2.067586531
81	2.067315217
82	2.067079097
83	2.066863911
84	2.066713673
85	2.066417443
86	2.066152962
87	2.065912898
88	2.065750928
89	2.065334791
90	2.065176096
91	2.064632521
92	2.064462063
93	2.064257977
94	2.063982977
95	2.063804145
96	2.063589517
97	2.063340969
98	2.06324469
99	2.063085025
100	2.062878821
101	2.06278643
102	2.062658288
103	2.062489918
104	2.062339659
105	2.062069012
106	2.061972304
107	2.061794011
108	2.061611394
109	2.061446339
110	2.061215754
111	2.06109276
112	2.060941601
113	2.060694912
114	2.060495888
115	2.060353304
116	2.06022548
117	2.059993009
118	2.059895325
119	2.059784195
120	2.059647198
121	2.059554746
122	2.059420031
123	2.059130456
124	2.058938971
125	2.058763092
126	2.058656196
127	2.058515354
128	2.058376278
129	2.058266983
130	2.058109728
131	2.057983982
132	2.057774102
133	2.057667931
134	2.057420031
135	2.057225863
136	2.057089337
137	2.056917267
138	2.056828832
139	2.056746522
140	2.056467025
141	2.056368039
142	2.056256235
143	2.0561034
144	2.055922093
145	2.055858149
146	2.055729816
147	2.055654705
148	2.055529807
149	2.055471668
150	2.055367443
151	2.055280225
152	2.055190543
153	2.05511602
154	2.054967687
155	2.054871278
156	2.054745904
157	2.054614205
158	2.054483592
159	2.054369166
160	2.054265913
161	2.054216381
162	2.054032462
163	2.05391657
164	2.053792574
165	2.053722885
166	2.053567874
167	2.053474272
168	2.053281762
169	2.053040535
170	2.052830067
171	2.052742498
172	2.052617411
173	2.052549385
174	2.052456968
175	2.052289801
176	2.052246691
177	2.052161508
178	2.052098432
179	2.052015066
180	2.051935373
181	2.05181541
182	2.051604707
183	2.051533775
184	2.051452279
185	2.051359032
186	2.051059788
187	2.050929199
188	2.050901405
189	2.050725397
190	2.050514884
191	2.050338675
192	2.050209419
193	2.050099562
194	2.049949349
195	2.049875472
196	2.049760229
197	2.049662422
198	2.049468152
199	2.049343555
200	2.049267719
201	2.049045385
202	2.048941988
203	2.048835729
204	2.048737278
205	2.048568675
206	2.048373572
207	2.048332998
208	2.048147914
209	2.048000391
210	2.047893683
211	2.047777278
212	2.047594779
213	2.047389897
214	2.047119241
215	2.046889681
216	2.046645473
217	2.046481089
218	2.046425411
219	2.046234792
220	2.046070546
221	2.046006402
222	2.045925653
223	2.045824973
224	2.045624793
225	2.045540367
226	2.045382371
227	2.045328983
228	2.045090205
229	2.044915394
230	2.044688404
231	2.04446709
232	2.044319834
233	2.044124416
234	2.04405521
235	2.043983822
236	2.043781497
237	2.043727737
238	2.043594046
239	2.043433941
240	2.043271614
241	2.04303898
242	2.042911224
243	2.042798198
244	2.042672417
245	2.04257711
246	2.042515574
247	2.04228511
248	2.042181451
249	2.041991313
250	2.041836931
251	2.0416934
252	2.041475305
253	2.041346904
254	2.041181826
255	2.041104131
