iter	Passed	Remaining
0	125	37439
1	172	25697
2	212	21025
3	261	19317
4	306	18062
5	359	17639
6	397	16651
7	434	15861
8	485	15696
9	529	15358
10	570	14986
11	608	14607
12	650	14370
13	695	14198
14	741	14093
15	783	13902
16	825	13748
17	872	13675
18	917	13566
19	953	13348
20	996	13234
21	1031	13028
22	1066	12840
23	1117	12850
24	1171	12883
25	1205	12707
26	1256	12701
27	1294	12575
28	1346	12580
29	1388	12498
30	1427	12389
31	1485	12441
32	1555	12587
33	1621	12687
34	1711	12955
35	1786	13101
36	1852	13170
37	1907	13153
38	1965	13151
39	2017	13111
40	2069	13071
41	2129	13083
42	2183	13051
43	2247	13075
44	2309	13089
45	2378	13135
46	2443	13152
47	2482	13032
48	2520	12911
49	2553	12768
50	2590	12649
51	2635	12570
52	2674	12464
53	2708	12337
54	2745	12232
55	2783	12126
56	2817	12012
57	2860	11934
58	2896	11829
59	2926	11706
60	2955	11579
61	2991	11485
62	3026	11386
63	3063	11295
64	3101	11214
65	3135	11115
66	3169	11023
67	3199	10916
68	3241	10851
69	3274	10758
70	3302	10650
71	3334	10560
72	3376	10500
73	3415	10430
74	3449	10349
75	3478	10253
76	3519	10192
77	3553	10112
78	3591	10046
79	3628	9977
80	3655	9883
81	3692	9816
82	3722	9731
83	3759	9668
84	3793	9595
85	3821	9509
86	3864	9461
87	3909	9419
88	3948	9361
89	3985	9298
90	4025	9244
91	4037	9127
92	4065	9050
93	4089	8962
94	4123	8897
95	4156	8833
96	4195	8780
97	4228	8716
98	4265	8660
99	4290	8580
100	4325	8523
101	4365	8474
102	4397	8411
103	4433	8354
104	4461	8286
105	4485	8209
106	4518	8149
107	4547	8085
108	4577	8021
109	4613	7969
110	4649	7916
111	4667	7834
112	4707	7790
113	4741	7735
114	4758	7655
115	4785	7590
116	4821	7541
117	4858	7492
118	4878	7420
119	4910	7366
120	4928	7291
121	4968	7248
122	5005	7202
123	5042	7157
124	5079	7111
125	5114	7062
126	5146	7010
127	5184	6966
128	5220	6920
129	5255	6872
130	5288	6822
131	5321	6773
132	5365	6737
133	5403	6693
134	5439	6648
135	5476	6604
136	5510	6556
137	5540	6504
138	5568	6449
139	5598	6398
140	5631	6350
141	5668	6306
142	5698	6255
143	5728	6206
144	5761	6158
145	5792	6109
146	5820	6058
147	5857	6015
148	5894	5973
149	5925	5925
150	5956	5877
151	5996	5838
152	6032	5796
153	6067	5752
154	6103	5709
155	6133	5662
156	6171	5621
157	6205	5576
158	6240	5534
159	6273	5489
160	6297	5437
161	6332	5394
162	6367	5351
163	6404	5311
164	6438	5267
165	6472	5224
166	6504	5180
167	6540	5138
168	6571	5094
169	6604	5050
170	6635	5005
171	6668	4962
172	6699	4918
173	6730	4874
174	6767	4833
175	6800	4791
176	6830	4746
177	6869	4708
178	6899	4663
179	6931	4621
180	6952	4571
181	6984	4528
182	7018	4487
183	7047	4443
184	7084	4403
185	7120	4364
186	7145	4317
187	7181	4278
188	7214	4236
189	7242	4193
190	7271	4149
191	7293	4102
192	7335	4066
193	7369	4026
194	7403	3986
195	7432	3943
196	7468	3905
197	7501	3864
198	7529	3821
199	7562	3781
200	7589	3738
201	7631	3702
202	7664	3662
203	7694	3620
204	7717	3576
205	7755	3538
206	7775	3493
207	7816	3457
208	7853	3419
209	7892	3382
210	7928	3344
211	7962	3305
212	8000	3267
213	8037	3229
214	8068	3189
215	8102	3151
216	8133	3110
217	8166	3071
218	8203	3033
219	8232	2993
220	8261	2953
221	8299	2915
222	8333	2877
223	8367	2839
224	8404	2801
225	8442	2764
226	8475	2725
227	8506	2686
228	8539	2647
229	8577	2610
230	8615	2573
231	8641	2532
232	8669	2493
233	8703	2454
234	8729	2414
235	8763	2376
236	8800	2339
237	8845	2304
238	8886	2268
239	8933	2233
240	8980	2198
241	9014	2160
242	9045	2121
243	9079	2083
244	9116	2046
245	9149	2008
246	9186	1971
247	9216	1932
248	9253	1895
249	9287	1857
250	9325	1820
251	9361	1783
252	9396	1745
253	9433	1708
254	9467	1670
255	9500	1632
256	9537	1595
257	9570	1557
258	9601	1519
259	9632	1481
260	9669	1444
261	9706	1407
262	9728	1368
263	9750	1329
264	9782	1292
265	9824	1255
266	9854	1217
267	9894	1181
268	9935	1144
269	9968	1107
270	10004	1070
271	10038	1033
272	10073	996
273	10092	957
274	10123	920
275	10155	883
276	10177	845
277	10210	808
278	10244	771
279	10274	733
280	10314	697
281	10351	660
282	10377	623
283	10414	586
284	10451	550
285	10485	513
286	10521	476
287	10559	439
288	10593	403
289	10627	366
290	10668	329
291	10690	292
292	10724	256
293	10762	219
294	10791	182
295	10834	146
296	10854	109
297	10892	73
298	10923	36
299	10960	0
